Modelname,round name,time,valid loss,loss,ppl
Model 3,15,11.67,4.36,78.15,50.74
Model 3,16,11.74,4.30,73.92,44.59
Model 3,17,11.74,4.30,73.49,42.01
Model 3,18,11.79,4.29,73.28,40.46
Model 3,19,11.75,4.29,73.04,39.6
Model 3,20,11.77,4.29,73.00,38.7
Model 3,21,11.82,4.29,73.25,38.04
Model 3,22,11.74,4.28,72.50,36.73
Model 3,23,11.79,4.28,72.51,36.09
Model 3,24,11.86,4.28,72.22,35.64
Model 3,25,11.76,4.28,72.12,35.7
Model 3,26,11.74,4.28,72.03,35.74
Model 3,27,11.82,4.28,72.00,35.47
Model 3,28,11.76,4.28,72.03,35.55
Model 3,29,11.75,4.28,72.02,35.1
Model 3,30,11.83,4.28,72.02,35.13
Model 3,31,11.79,4.28,72.01,35.3
Model 3,32,11.78,4.28,72.01,35.24
Model 3,33,11.80,4.28,72.01,35.12
Model 3,34,11.86,4.28,72.01,35.03
Model 3,35,11.93,4.28,72.01,35.11
Model 3,36,11.79,4.28,72.01,35.39
Model 3,37,11.79,4.28,72.01,35.08
Model 3,38,11.84,4.28,72.01,35.04
Model 3,39,11.80,4.28,72.01,35.4
Model 3,40,11.80,4.28,72.01,35.21
Model 4,1,10.90,5.39,218.21,584.42
Model 4,2,12.14,5.03,152.47,210.76
Model 4,3,12.31,4.85,127.32,155.07
Model 4,4,12.26,4.75,115.51,131.47
Model 4,5,12.33,4.66,105.44,116.62
Model 4,6,11.50,4.60,99.50,106.81
Model 4,7,11.34,4.55,94.61,100.66
Model 4,8,11.47,4.54,93.23,94.88
Model 4,9,11.47,4.50,90.38,91.17
Model 4,10,11.41,4.48,88.58,87.68
Model 4,11,11.48,4.46,86.33,84.94
Model 4,12,11.44,4.45,85.79,82.51
Model 4,13,11.45,4.42,83.36,80.09
Model 4,14,11.45,4.42,83.09,78.71
Model 4,15,11.50,4.42,82.92,77.42
Model 4,16,11.47,4.40,81.36,75.56
Model 4,17,11.53,4.40,81.22,73.77
Model 4,18,11.50,4.41,82.07,73.19
Model 4,19,11.52,4.34,77.09,67.33
Model 4,20,11.53,4.34,76.69,64.04
Model 4,21,11.54,4.33,76.24,62.82
Model 4,22,11.49,4.33,76.15,61.6
Model 4,23,11.52,4.33,75.69,60.7
Model 4,24,11.52,4.33,75.69,60.01
Model 4,25,11.57,4.32,75.21,59.65
Model 4,26,11.53,4.32,75.04,58.57
Model 4,27,11.72,4.32,74.93,58.29
Model 4,28,11.61,4.32,74.92,57.99
Model 4,29,11.54,4.31,74.30,57.14
Model 4,30,11.55,4.31,74.45,56.8
Model 4,31,11.59,4.31,74.08,55.64
Model 4,32,11.54,4.30,73.89,54.94
Model 4,33,11.53,4.30,73.91,54.7
Model 4,34,11.58,4.30,73.76,54.02
Model 4,35,11.59,4.30,73.70,54.09
Model 4,36,11.55,4.30,73.67,54.11
Model 4,37,11.54,4.30,73.65,53.97
Model 4,38,11.54,4.30,73.61,53.83
Model 4,39,11.54,4.30,73.59,53.83
Model 4,40,11.55,4.30,73.62,53.51
Model5,1,10.88,5.49,242.23,618.69
Model5,2,12.15,5.21,183.88,269.09
Model5,3,11.99,5.09,162.94,215.95
Model5,4,11.98,5.03,153.22,194.46
Model5,5,12.10,4.99,146.96,180.41
Model5,6,11.26,4.94,139.49,173.87
Model5,7,11.12,4.91,136.29,167.03
Model5,8,11.15,4.89,133.36,161.46
Model5,9,11.20,4.87,130.35,159.0
Model5,10,11.26,4.85,128.34,155.4
Model5,11,11.24,4.84,127.08,153.74
Model5,12,11.20,4.83,125.15,150.7
Model5,13,11.28,4.82,123.82,148.42
Model5,14,11.22,4.81,122.22,146.76
Model5,15,11.24,4.80,121.40,146.14
Model5,16,11.23,4.79,120.80,144.34
Model5,17,11.28,4.77,118.20,142.97
Model5,18,11.24,4.77,117.73,142.77
Model5,19,11.27,4.78,119.05,141.01
Model5,20,11.27,4.73,113.60,134.06
Model5,21,11.30,4.73,112.94,128.79
Model5,22,11.31,4.72,111.97,125.81
Model5,23,11.28,4.71,111.34,123.78
Model5,24,11.29,4.71,110.67,121.85
Model5,25,11.30,4.70,109.89,120.55
Model5,26,11.32,4.69,109.34,120.12
Model5,27,11.32,4.69,108.71,118.41
Model5,28,11.32,4.69,108.55,117.72
Model5,29,11.32,4.68,107.94,117.56
Model5,30,11.31,4.67,107.16,115.98
Model5,31,11.34,4.67,107.11,115.23
Model5,32,11.36,4.67,106.59,114.31
Model5,33,11.37,4.66,105.63,113.0
Model5,34,11.28,4.66,105.58,112.75
Model5,35,11.32,4.65,104.97,112.58
Model5,36,11.35,4.65,104.79,111.45
Model5,37,11.32,4.65,104.43,111.56
Model5,38,11.32,4.65,104.19,110.72
Model5,39,11.37,4.64,103.93,110.72
Model5,40,11.39,4.64,103.25,109.88
