log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modelname;round name;time;valid loss;valid ppl;ppl;;;;Valid  perplexity ;Dropout 0.0;Dropout 0.2;Dropout 0.4;Dropout 0.6;Dropout 0.8;;;;;;;;;;;;;;;;;;;
Model 1;33;11.67;4.48;88.03;22.48;;;;Epoch 33;88.03;77.97;72.01;73.91;105.63;;;;;;;;;;;;;;Epoch 32;22.48;28.73;35.24;54.94;114.31
Model 1;34;12.51;4.48;88.03;22.48;;;;Epoch 34;88.03;77.97;72.01;73.76;105.58;;;;;;;;;;;;;;Epoch 33;22.48;28.5;35.12;54.7;113
Model 1;35;11.45;4.48;88.03;22.48;;;;Epoch 35;88.03;77.97;72.01;73.7;104.97;;;;;;;;;;;;;;Epoch 34;22.48;28.48;35.03;54.02;112.75
Model 1;36;11.54;4.48;88.03;22.48;;;;Epoch 36;88.03;77.97;72.01;73.67;104.79;;;;;;;;;;;;;;Epoch 35;22.48;28.76;35.11;54.09;112.58
Model 1;37;11.57;4.48;88.03;22.48;;;;Epoch 37;88.03;77.97;72.01;73.65;104.43;;;;;;;;;;;;;;Epoch 36;22.48;28.5;35.39;54.11;111.45
Model 1;38;11.56;4.48;88.03;22.48;;;;Epoch 38;88.03;77.97;72.01;73.61;104.19;;;;;;;;;;;;;;Epoch 37;22.48;28.6;35.08;53.97;111.56
Model 1;39;11.49;4.48;88.03;22.48;;;;Epoch 39;88.03;77.97;72.01;73.59;103.93;;;;;;;;;;;;;;Epoch 38;22.48;28.56;35.04;53.83;110.72
Model 1;40;11.52;4.48;88.03;22.48;;;;Epoch 40;88.03;77.97;72.01;73.62;103.25;;;;;;;;;;;;;;Epoch 39;22.48;28.67;35.4;53.83;110.72
Model 2;1;10.92;5.49;241.33;621.76;;;;;;;;;;;;;;;;;;;;;;;Epoch 40;22.48;28.66;35.21;53.51;109.88
Model 2;2;12.3;4.99;147.01;188.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 2;3;12.45;4.75;116.14;124.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 2;4;12.53;4.67;106.88;96.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 2;5;12.55;4.57;96.72;81.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 2;6;11.74;4.51;90.53;71.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 2;7;11.76;4.47;87.43;63.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 2;8;11.73;4.46;86.69;56.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 2;9;11.83;4.46;86.17;51.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 2;10;11.79;4.47;87.05;46.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 2;11;11.82;4.38;79.52;37.51;;;;Valid  perplexity ;Dropout 0.0;Dropout 0.2;Dropout 0.4;Dropout 0.6;Dropout 0.8;;;;;;;;;;;;;;;;;;;
Model 2;12;11.87;4.37;78.85;34.22;;;;Epoch 1;5.6;5.52;5.52;5.39;5.49;;;;;;;;;;;;;;;;;;;
Model 2;13;11.9;4.37;78.87;32.33;;;;Epoch 2;4.98;4.98;4.98;5.03;5.21;;;;;;;;;;;;;;;;;;;
Model 2;14;11.95;4.36;78.12;30.34;;;;Epoch 3;4.8;4.78;4.78;4.85;5.09;;;;;;;;;;;;;;;;;;;
Model 2;15;11.88;4.36;78.52;29.65;;;;Epoch 4;4.65;4.65;4.65;4.75;5.03;;;;;;;;;;;;;;;;;;;
Model 2;16;11.88;4.36;78.15;29.07;;;;Epoch 5;4.61;4.59;4.59;4.66;4.99;;;;;;;;;;;;;;;;;;;
Model 2;17;11.95;4.36;78.09;28.83;;;;Epoch 6;4.56;4.53;4.53;4.6;4.94;;;;;;;;;;;;;;;;;;;
Model 2;18;11.89;4.36;78.05;28.77;;;;Epoch 7;4.56;4.51;4.51;4.55;4.91;;;;;;;;;;;;;;;;;;;
Model 2;19;11.92;4.36;78.03;28.63;;;;Epoch 8;4.61;4.46;4.46;4.54;4.89;;;;;;;;;;;;;;;;;;;
Model 2;20;11.88;4.36;77.99;28.66;;;;Epoch 9;4.49;4.44;4.44;4.5;4.87;;;;;;;;;;;;;;;;;;;
Model 2;21;11.9;4.36;77.97;28.62;;;;Epoch 10;4.51;4.42;4.42;4.48;4.85;;;;;;;;;;;;;;;;;;;
Model 2;22;11.93;4.36;77.98;28.54;;;;Epoch 11;4.49;4.4;4.4;4.46;4.84;;;;;;;;;;;;;;;;;;;
Model 2;23;11.89;4.36;77.98;28.52;;;;Epoch 12;4.48;4.38;4.38;4.45;4.83;;;;;;;;;;;;;;;;;;;
Model 2;24;11.93;4.36;77.97;28.58;;;;Epoch 13;4.48;4.37;4.37;4.42;4.82;;;;;;;;;;;;;;;;;;;
Model 2;25;11.93;4.36;77.97;28.8;;;;Epoch 14;4.48;4.35;4.35;4.42;4.81;;;;;;;;;;;;;;;;;;;
Model 2;26;11.86;4.36;77.97;28.54;;;;Epoch 15;4.48;4.36;4.36;4.42;4.8;;;;;;;;;;;;;;;;;;;
